波长nm	计数count
340.9665	0
341.02608	0
341.08566	0
341.14524	0
341.20482	0
341.2644	0
341.32398	0
341.38356	0
341.44314	0
341.50272	0
341.5623	0
341.62188	0
341.68146	0
341.74104	0
341.80062	0
341.8602	0
341.91978	0
341.97936	0
342.03894	0
342.09852	0
342.1581	0
342.21768	0
342.27726	0
342.33684	0
342.39642	0
342.456	580
342.47786	0
342.49972	0
342.52158	0
342.54344	0
342.5653	0
342.58716	0
342.60902	0
342.63088	0
342.65274	0
342.6746	0
342.69646	0
342.71832	0
342.74018	0
342.76204	0
342.7839	0
342.80576	0
342.82762	0
342.84948	0
342.87134	0
342.8932	0
342.91506	0
342.93692	0
342.95878	0
342.98064	0
343.0025	0
343.02436	0
343.04622	0
343.06808	0
343.08994	0
343.1118	0
343.13366	0
343.15552	0
343.17738	0
343.19924	0
343.2211	0
343.24296	0
343.26482	0
343.28668	0
343.30854	0
343.3304	0
343.35226	0
343.37412	0
343.39598	0
343.41784	0
343.4397	0
343.46156	0
343.48342	0
343.50528	0
343.52714	0
343.549	580
343.58512	0
343.62124	0
343.65736	0
343.69348	0
343.7296	0
343.76572	0
343.80184	0
343.83796	0
343.87408	0
343.9102	0
343.94632	0
343.98244	0
344.01856	0
344.05468	0
344.0908	0
344.12692	0
344.16304	0
344.19916	0
344.23528	0
344.2714	0
344.30752	0
344.34364	0
344.37976	0
344.41588	0
344.452	0
344.48812	0
344.52424	0
344.56036	0
344.59648	0
344.6326	0
344.66872	0
344.70484	0
344.74096	0
344.77708	0
344.8132	0
344.84932	0
344.88544	0
344.92156	0
344.95768	0
344.9938	0
345.02992	0
345.06604	0
345.10216	0
345.13828	0
345.1744	0
345.21052	0
345.24664	0
345.28276	0
345.31888	0
345.355	360
345.35636	0
345.35772	0
345.35908	0
345.36044	0
345.3618	0
345.36316	0
345.36452	0
345.36588	0
345.36724	0
345.3686	0
345.36996	0
345.37132	0
345.37268	0
345.37404	0
345.3754	0
345.37676	0
345.37812	0
345.37948	0
345.38084	0
345.3822	0
345.38356	0
345.38492	0
345.38628	0
345.38764	0
345.389	0
345.39036	0
345.39172	0
345.39308	0
345.39444	0
345.3958	0
345.39716	0
345.39852	0
345.39988	0
345.40124	0
345.4026	0
345.40396	0
345.40532	0
345.40668	0
345.40804	0
345.4094	0
345.41076	0
345.41212	0
345.41348	0
345.41484	0
345.4162	0
345.41756	0
345.41892	0
345.42028	0
345.42164	0
345.423	320
345.42864	0
345.43428	0
345.43992	0
345.44556	0
345.4512	0
345.45684	0
345.46248	0
345.46812	0
345.47376	0
345.4794	0
345.48504	0
345.49068	0
345.49632	0
345.50196	0
345.5076	0
345.51324	0
345.51888	0
345.52452	0
345.53016	0
345.5358	0
345.54144	0
345.54708	0
345.55272	0
345.55836	0
345.564	0
345.56964	0
345.57528	0
345.58092	0
345.58656	0
345.5922	0
345.59784	0
345.60348	0
345.60912	0
345.61476	0
345.6204	0
345.62604	0
345.63168	0
345.63732	0
345.64296	0
345.6486	0
345.65424	0
345.65988	0
345.66552	0
345.67116	0
345.6768	0
345.68244	0
345.68808	0
345.69372	0
345.69936	0
345.705	320
345.70632	0
345.70764	0
345.70896	0
345.71028	0
345.7116	0
345.71292	0
345.71424	0
345.71556	0
345.71688	0
345.7182	0
345.71952	0
345.72084	0
345.72216	0
345.72348	0
345.7248	0
345.72612	0
345.72744	0
345.72876	0
345.73008	0
345.7314	0
345.73272	0
345.73404	0
345.73536	0
345.73668	0
345.738	0
345.73932	0
345.74064	0
345.74196	0
345.74328	0
345.7446	0
345.74592	0
345.74724	0
345.74856	0
345.74988	0
345.7512	0
345.75252	0
345.75384	0
345.75516	0
345.75648	0
345.7578	0
345.75912	0
345.76044	0
345.76176	0
345.76308	0
345.7644	0
345.76572	0
345.76704	0
345.76836	0
345.76968	0
345.771	320
345.77542	0
345.77984	0
345.78426	0
345.78868	0
345.7931	0
345.79752	0
345.80194	0
345.80636	0
345.81078	0
345.8152	0
345.81962	0
345.82404	0
345.82846	0
345.83288	0
345.8373	0
345.84172	0
345.84614	0
345.85056	0
345.85498	0
345.8594	0
345.86382	0
345.86824	0
345.87266	0
345.87708	0
345.8815	0
345.88592	0
345.89034	0
345.89476	0
345.89918	0
345.9036	0
345.90802	0
345.91244	0
345.91686	0
345.92128	0
345.9257	0
345.93012	0
345.93454	0
345.93896	0
345.94338	0
345.9478	0
345.95222	0
345.95664	0
345.96106	0
345.96548	0
345.9699	0
345.97432	0
345.97874	0
345.98316	0
345.98758	0
345.992	360
345.9966	0
346.0012	0
346.0058	0
346.0104	0
346.015	0
346.0196	0
346.0242	0
346.0288	0
346.0334	0
346.038	0
346.0426	0
346.0472	0
346.0518	0
346.0564	0
346.061	0
346.0656	0
346.0702	0
346.0748	0
346.0794	0
346.084	0
346.0886	0
346.0932	0
346.0978	0
346.1024	0
346.107	0
346.1116	0
346.1162	0
346.1208	0
346.1254	0
346.13	0
346.1346	0
346.1392	0
346.1438	0
346.1484	0
346.153	0
346.1576	0
346.1622	0
346.1668	0
346.1714	0
346.176	0
346.1806	0
346.1852	0
346.1898	0
346.1944	0
346.199	0
346.2036	0
346.2082	0
346.2128	0
346.2174	0
346.222	320
346.22466	0
346.22732	0
346.22998	0
346.23264	0
346.2353	0
346.23796	0
346.24062	0
346.24328	0
346.24594	0
346.2486	0
346.25126	0
346.25392	0
346.25658	0
346.25924	0
346.2619	0
346.26456	0
346.26722	0
346.26988	0
346.27254	0
346.2752	0
346.27786	0
346.28052	0
346.28318	0
346.28584	0
346.2885	0
346.29116	0
346.29382	0
346.29648	0
346.29914	0
346.3018	0
346.30446	0
346.30712	0
346.30978	0
