Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   5.5   3.9088         4.5     0.1134            3265.792      1.911E+07  0.4374 
UII   6.5   3.8266         5.5     0.03584           3269.765      8.052E+06  0.2095 
UII   5.5   3.8262         5.5     0.03584           3270.122      2.362E+07  0.4516 
UII   4.5   4.4585         3.5     0.6697            3271.448      1.964E+07  0.3914 
UII   4.5   3.8923         4.5     0.1134            3280.003      1.892E+07  0.3033 
UII   5.5   3.7761         4.5     0.000             3282.48       1.171E+07  0.2706 
UII   4.5   3.8888         4.5     0.1134            3283.102      2.087E+07  0.3352 
UII   7.5   3.9898         6.5     0.2169            3285.223      1.514E+07  0.4453 
UII   5.5   3.8053         5.5     0.03584           3288.208      2.303E+07  0.4453 
UII   5.5   3.7878         5.5     0.03584           3303.597      1.883E+07  0.3675 
UII   6.5   4.0338         5.5     0.2845            3305.89       3.147E+07  0.8369 
UII   5.5   3.7761         5.5     0.03584           3313.932      1.857E+07  0.3646 
UII   6.5   4.3033         6.5     0.5685            3318.788      1.488E+07  0.3420 
UII   6.5   4.2995         6.5     0.5685            3322.118      2.365E+07  0.5444 
UII   5.5   3.7271         4.5     0.000             3325.642      1.105E+07  0.2621 
UII   4.5   3.8384         4.5     0.1134            3327.506      1.775E+07  0.2929 
UII   6.5   4.0068         5.5     0.2845            3329.922      1.709E+07  0.4612 
UII   6.5   4.4374         5.5     0.7179            3332.432      1.453E+07  0.3926 
UII   5.5   3.7493         5.5     0.03584           3337.785      2.047E+07  0.4078 
UII   5.5   3.8262         4.5     0.1134            3338.455      1.215E+07  0.2905 
UII   6.5   3.9937         5.5     0.2845            3341.663      2.015E+07  0.5477 
UII   7.5   3.9249         6.5     0.2169            3342.679      1.404E+07  0.4274 
UII   4.5   3.9795         5.5     0.2845            3354.502      3.143E+07  0.4391 
UII   5.5   3.7302         5.5     0.03584           3355.109      9.783E+06  0.1969 
UII   5.5   3.7271         5.5     0.03584           3357.93       1.700E+07  0.3427 
UII   4.5   3.9716         5.5     0.2845            3361.722      2.413E+07  0.3386 
UII   5.5   3.6803         4.5     0.000             3367.895      9.495E+06  0.2311 
UII   6.5   4.3300         7.5     0.6521            3370.131      2.120E+07  0.4396 
UII   5.5   3.7116         5.5     0.03584           3372.004      1.527E+07  0.3104 
UII   4.5   3.9554         5.5     0.2845            3376.544      2.149E+07  0.3042 
UII   5.5   3.6981         5.5     0.03584           3384.444      1.503E+07  0.3079 
UII   4.5   3.7739         4.5     0.1134            3386.133      1.943E+07  0.3319 
UII   6.5   4.2216         6.5     0.5685            3392.99       1.352E+07  0.3247 
UII   4.5   3.9366         5.5     0.2845            3393.874      3.083E+07  0.4409 
UII   6.5   4.3033         7.5     0.6521            3394.774      3.228E+07  0.6791 
UII   7.5   3.8674         6.5     0.2169            3395.314      1.311E+07  0.4119 
UII   6.5   3.9348         5.5     0.2845            3395.609      1.570E+07  0.4404 
