波长nm,计数count
460.2247377,-19.54940452
460.2266218,-41.53784394
460.2285056,-36.52628337
460.2303892,-20.51472279
460.2322726,8.496837782
460.2341557,16.50839836
460.2360385,8.519958932
460.2379212,-4.468480493
460.2398035,-13.45691992
460.2416857,-17.44535934
460.2435675,-8.433798768
460.2454492,-18.42223819
460.2473306,-26.41067762
460.2492117,-17.39911704
460.2510926,-27.38755647
460.2529733,-23.37599589
460.2548537,-25.36443532
460.2567339,-19.35287474
460.2586323,-19.34131417
460.2605116,-3.329753593
460.2623906,1.681806982
460.2642694,-6.306632444
460.266148,-17.29507187
460.2680263,-8.283511294
460.2699044,-9.271950719
460.2717822,8.739609856
460.2736598,2.751170431
460.2755372,-8.237268994
460.2774143,-22.22570842
460.2792912,-18.21414784
460.2811679,-1.202587269
460.2830443,12.80897331
460.2849205,-4.179466119
460.2867964,10.83209446
460.2886721,2.843655031
460.2905476,14.85521561
460.2924228,2.866776181
460.2942977,11.87833676
460.2961725,4.889897331
460.298047,-2.098542094
460.2999213,9.91301848
460.3017953,39.92457906
460.3036691,14.93613963
460.3055426,17.94770021
460.3074159,23.95926078
460.309289,30.97082136
460.3111618,19.98238193
460.3130344,-3.006057495
460.3149067,-4.99449692
460.3167788,7.017063655
460.3186507,14.02862423
460.3205223,6.040184805
460.3223937,3.05174538
460.3242649,7.063305955
460.3261358,23.07486653
460.3280064,33.0864271
460.3298769,35.09798768
460.331747,27.10954825
460.333617,28.12110883
460.3354867,26.1326694
460.3373562,46.14422998
460.3392254,63.15579055
460.3410944,71.16735113
460.3429631,58.1789117
460.3448316,42.19047228
460.3466999,37.20203285
460.3485679,35.21359343
460.3504357,50.225154
460.3523032,69.23671458
460.3541705,100.2482752
460.3560376,145.2598357
460.3579044,201.2713963
460.359771,300.2829569
460.3616374,427.2945175
460.3635034,578.306078
460.3653693,662.3176386
460.3672349,630.3291992
460.3691003,501.3407598
460.3709654,333.3523203
460.3728303,199.3638809
460.374695,111.3754415
460.3765594,89.38700205
460.3784236,90.39856263
460.3802875,99.4101232
460.3821512,101.4216838
460.3840146,92.43324435
460.3858778,76.44480493
460.3877408,48.4563655
460.3896035,42.46792608
460.391466,30.47948665
460.3933282,51.49104723
460.3951902,70.5026078
460.397052,66.51416838
460.3989135,54.52572895
460.4007748,46.53728953
460.4026358,36.5488501
460.4044966,36.56041068
460.4063571,10.57197125
460.4082174,1.583531828
460.4100775,-9.404907598
460.4119373,-5.393347023
460.4137969,-7.381786448
460.4156562,-7.370225873
460.4175153,2.641334702
460.4193742,4.652895277
460.4212328,-0.335544148
460.4230911,10.67601643
460.4249493,12.687577
460.4268071,23.69913758
460.4286648,20.71069815
460.4305222,-5.277741273
460.4323793,17.7338193
460.4342362,20.74537988
460.4360929,5.756940452
460.4379493,-4.231498973
460.4398055,-5.219938398
460.4416614,-8.208377823
460.4435171,-11.19681725
460.4453726,-11.18525667
460.4472278,-8.173696099
460.4490828,6.837864476
460.4509375,-3.150574949
460.452792,2.860985626
460.4546462,-20.1274538
460.4565002,0.884106776
460.4583539,3.895667351
460.4602074,2.907227926
460.4620607,-4.081211499
460.4639137,-0.069650924
460.4657665,-5.058090349
460.467619,-1.046529774
460.4694713,-13.0349692
460.4713234,-7.023408624
460.4731752,-8.011848049
460.4750267,6.999712526
460.476878,22.0112731
460.4787291,33.02283368
460.4805799,14.03439425
460.4824305,2.045954825
460.4842808,5.0575154
460.4861309,28.06907598
460.4879808,21.08063655
460.4898304,3.092197125
460.4916797,-2.8962423
460.4935289,6.115318275
460.4953777,28.12687885
460.4972264,53.13843943
460.4990747,62.15
460.5009229,78.16156057
460.5027708,109.1731211
460.5046184,140.1846817
460.5064658,162.1962423
460.508313,187.2078029
460.5101599,188.2193634
460.5120066,250.230924
460.513853,338.2424846
460.5156992,359.2540452
460.5175451,305.2656057
460.5193908,247.2771663
460.5212362,164.2887269
460.5230814,111.3002875
460.5249264,93.31184805
460.5267711,58.32340862
460.5286156,37.3349692
460.5304598,25.34652977
460.5323037,0.358090349
460.5341475,2.369650924
460.535991,22.3812115
460.5378342,22.39277207
460.5396772,21.40433265
460.5415199,3.415893224
460.5433624,26.4274538
460.5452047,7.439014374
460.5470467,23.45057495
460.5488884,24.46213552
460.55073,26.4736961
460.5525712,42.48525667
460.5544123,53.49681725
460.556253,54.50837782
460.5580936,40.5199384
460.5599338,33.53149897
460.5617739,17.54305955
460.5636137,2.554620123
460.5654532,19.5661807
460.5672925,17.57774127
460.5691316,14.58930185
460.5709704,43.60086242
460.5728089,34.612423
460.5746473,17.62398357
460.5764853,28.63554415
460.5783231,1.647104723
460.5801607,-3.341334702
460.581998,-2.329774127
460.5838351,-22.31821355
460.585672,-8.306652977
460.5875086,-5.295092402
460.5893449,0.716468172
460.591181,5.728028747
460.5930168,-14.26041068
460.5948524,-9.248850103
460.5966878,-25.23728953
460.5985229,-7.225728953
460.6003577,-2.214168378
460.6021923,-14.2026078
460.6040267,-18.19104723
460.6058608,-9.179486653
460.6076947,-7.167926078
460.6095283,8.843634497
460.6113617,1.855195072
460.6131948,0.866755647
460.6150277,-9.121683778
460.6168603,1.889876797
460.6186927,1.901437372
460.6205248,8.912997947
460.6223567,-8.075441478
460.6241883,-8.063880903
460.6260197,-3.052320329
460.6278509,-6.040759754
460.6296818,-15.02919918
460.6315124,-25.0176386
460.6333428,-20.00607803
460.635173,-23.99451745
460.6370029,-15.98295688
460.6388325,-9.971396304
460.6406619,-12.95983573
460.6424911,-20.94827515
460.64432,-22.93671458
460.6461486,-18.925154
460.647977,-24.91359343
460.6498052,-34.90203285
460.6516331,-29.89047228
460.6534608,-12.8789117
460.6552882,-13.86735113
460.6571153,-11.85579055
460.6589423,-6.844229979
460.6607689,-16.8326694
460.6625953,-5.82110883
460.6644215,-15.80954825
460.6662474,-2.79798768
460.6680731,-14.7864271
460.6698985,-1.77486653
460.6717237,-15.76330595
460.6735486,3.24825462
460.6753733,11.2598152
460.6771977,10.27137577
460.6790219,-8.717063655
460.6808458,-8.70550308
460.6826695,-22.69394251
460.6844929,-19.68238193
460.6863161,-15.67082136
460.688139,-12.65926078
460.6899617,-9.647700205
460.6917841,-1.63613963
460.6936063,-5.624579055
460.6954282,-3.61301848
