波长nm	计数count
355.4	3219
355.46	2312
355.52	1885
355.57	1947
355.63	2001
355.69	2765
355.74	2642
355.8	2646
355.86	1985
355.91	2822
355.97	3102
356.03	2539
356.08	2369
356.14	1760
356.2	3145
356.26	2575
356.31	2065
356.37	2138
356.43	2720
356.48	2036
356.54	2531
356.6	2300
356.65	3019
356.71	2072
356.77	2452
356.82	2079
356.88	3070
356.94	1963
356.99	3326
357.05	1912
357.11	1935
357.16	1851
357.22	2223
357.28	2693
357.33	3008
357.39	2625
357.45	2037
357.5	2157
357.56	2162
357.62	2116
357.67	2040
357.73	2518
357.79	2014
357.84	2719
357.9	2256
357.96	2020
358.01	1755
358.07	2563
358.13	2641
358.18	2140
358.24	2414
358.3	2333
358.35	1935
358.41	1814
358.47	2064
358.52	2593
358.58	2432
358.64	2337
358.69	1863
358.75	2398
358.81	2172
358.86	2698
358.92	2926
358.98	2607
359.03	2973
359.09	2660
359.14	2993
359.2	2109
359.26	1671
359.31	1892
359.37	2066
359.43	2452
359.48	1770
359.54	2419
359.6	1528
359.65	2183
359.71	2358
359.76	2205
359.82	2133
359.88	2446
359.93	3145
359.99	2341
360.05	2310
360.1	2042
360.16	3323
360.22	2664
360.27	2276
360.33	2945
360.38	2281
360.44	2867
360.5	1928
360.55	2682
360.61	2264
360.66	2312
360.72	2549
360.78	2562
360.83	2543
360.89	2114
360.95	1726
361	2414
361.06	2901
361.11	1927
361.17	1975
361.23	1903
361.28	2235
361.34	2060
361.39	2873
361.45	1865
361.51	2225
361.56	2617
361.62	2438
361.67	2832
361.73	2574
361.79	2776
361.84	2352
361.9	2851
361.95	2712
362.01	2605
362.07	1844
362.12	2472
362.18	2067
362.23	2290
362.29	1668
362.35	2146
362.4	1730
362.46	2237
362.51	2291
362.57	3032
362.62	2741
362.68	2281
362.74	1462
362.79	2703
362.85	2216
362.9	3034
362.96	3008
363.02	2293
363.07	2635
363.13	2134
363.18	2175
363.24	2190
363.29	1608
363.35	1859
363.41	2269
363.46	2605
363.52	2223
363.57	2166
363.63	2623
363.68	2770
363.74	2194
363.79	1917
363.85	1991
363.91	2365
363.96	2685
364.02	2457
364.07	2234
364.13	2603
364.18	2280
364.24	2962
364.29	2346
364.35	2665
364.41	2041
364.46	2742
364.52	2165
364.57	1815
364.63	3376
364.68	2138
364.74	3263
364.79	1920
364.85	1997
364.91	2190
364.96	1975
365.02	1973
365.07	2314
365.13	2164
365.18	2611
365.24	3029
365.29	2480
365.35	3053
365.4	2286
365.46	1947
365.51	2314
365.57	2166
365.63	1980
365.68	2583
365.74	2367
365.79	2961
365.85	1993
365.9	2392
365.96	2831
366.01	1899
366.07	1852
366.12	2186
366.18	1956
366.23	3171
366.29	2047
366.34	1728
366.4	1645
366.45	1976
366.51	2251
366.56	2473
366.62	2272
366.67	1892
366.73	2080
366.78	2083
366.84	2440
366.89	2194
366.95	2818
367	2506
367.06	2357
367.11	2268
367.17	2581
367.22	1589
367.28	3531
367.33	2082
367.39	1888
367.44	3504
367.5	2218
367.55	1843
367.61	2937
367.66	2844
367.72	2752
367.77	1703
367.83	3067
367.88	2180
367.94	2614
367.99	1760
368.05	1823
368.1	1541
368.16	1930
368.21	2757
368.27	2752
368.32	2181
368.38	2064
368.43	2231
368.49	1928
368.54	1964
368.6	1678
368.65	2480
368.71	3027
368.76	2124
368.82	2234
368.87	2725
368.93	2036
368.98	2221
369.04	2396
369.09	2831
369.14	2234
369.2	1884
369.25	1928
369.31	2340
369.36	1989
369.42	2909
369.47	2542
369.53	3256
369.58	1994
369.64	3000
369.69	1718
369.75	2451
369.8	3922
369.85	2115
369.91	1688
369.96	2873
370.02	2653
370.07	2113
370.13	2347
370.18	2356
370.24	3366
370.29	2144
370.35	2400
370.4	2291
370.45	1860
370.51	2001
370.56	3194
370.62	2030
370.67	2341
370.73	2766
370.78	2304
370.84	2817
370.89	2089
370.94	1898
371	1981
371.05	2526
371.11	2904
371.16	1888
371.22	2021
371.27	1718
371.32	2405
371.38	3558
371.43	2128
371.49	2148
371.54	2031
371.6	2698
371.65	2255
371.7	2406
371.76	3110
371.81	2753
371.87	1871
371.92	3331
371.97	2645
372.03	2555
372.08	2848
372.14	2573
372.19	2571
372.25	2576
372.3	2193
372.35	2474
372.41	2752
372.46	2201
372.52	2494
372.57	3396
372.62	3129
372.68	1994
372.73	2286
372.79	3165
372.84	2192
372.89	3630
372.95	2223
373	3081
373.06	2058
373.11	2358
373.16	2895
373.22	2547
373.27	2700
373.33	2903
373.38	2407
373.43	2675
373.49	1747
373.54	3046
373.6	2247
373.65	1987
373.7	2255
373.76	2039
373.81	2175
373.86	3247
373.92	2013
373.97	1967
374.03	1953
374.08	2319
374.13	3105
374.19	3062
374.24	2163
374.29	2550
374.35	2865
374.4	2514
374.46	2845
374.51	1895
374.56	2603
374.62	3192
374.67	2991
374.72	2018
374.78	3311
374.83	2127
374.89	1974
374.94	2719
374.99	2499
375.05	2767
375.1	2657
375.15	2315
375.21	2205
375.26	2673
375.31	2173
375.37	2260
375.42	2643
375.47	2040
375.53	2096
375.58	2674
375.63	3344
375.69	2501
375.74	3122
375.8	2118
375.85	2935
375.9	2630
375.96	2476
376.01	2487
376.06	1951
376.12	2227
376.17	1643
376.22	2390
376.28	2989
376.33	2463
376.38	1533
376.44	1823
376.49	2213
376.54	2906
376.6	1993
376.65	2018
376.7	2511
376.76	2158
376.81	2259
376.86	2710
376.92	1779
376.97	1749
377.02	1797
377.08	2491
377.13	3433
377.18	2587
377.23	1854
377.29	1704
377.34	3127
377.39	1878
377.45	2149
377.5	3047
377.55	2012
377.61	2149
377.66	2517
377.71	2168
377.77	2177
377.82	2168
377.87	2342
377.93	1924
377.98	2526
378.03	2646
378.08	2230
378.14	2509
378.19	3484
378.24	2139
378.3	2195
378.35	2737
378.4	2410
378.46	1910
378.51	1795
378.56	2683
378.61	2454
378.67	2567
378.72	2721
378.77	2375
378.83	3105
378.88	2195
378.93	2403
378.98	2750
379.04	2393
379.09	2602
379.14	2041
379.2	2359
379.25	2569
379.3	2524
379.35	1817
379.41	3090
379.46	1937
379.51	1902
379.56	3050
379.62	1862
379.67	3857
379.72	1722
379.78	2491
379.83	2699
379.88	1861
379.93	2382
379.99	1821
380.04	2093
380.09	1963
380.14	3584
380.2	2061
380.25	1990
380.3	2248
380.35	2293
380.41	2752
380.46	2062
380.51	1813
380.56	2188
380.62	2430
380.67	2060
380.72	2435
380.78	2096
380.83	2304
380.88	2891
380.93	2442
380.98	2009
381.04	3088
381.09	3450
381.14	2277
381.19	2095
381.25	1966
381.3	3170
381.35	2455
381.4	2622
381.46	2367
381.51	2439
381.56	1897
381.61	1961
381.67	2139
381.72	2071
381.77	2423
381.82	3634
381.88	2088
381.93	1933
381.98	2975
382.03	2515
382.08	2461
382.14	3094
382.19	2556
382.24	2907
382.29	3059
382.35	2424
382.4	3423
382.45	3156
382.5	4003
382.55	1987
382.61	3446
382.66	2555
382.71	2376
382.76	2357
382.81	2851
382.87	2317
382.92	1941
382.97	2918
383.02	1856
383.07	3533
383.13	2506
383.18	2320
383.23	2251
383.28	1722
383.33	2096
383.39	2077
383.44	2130
383.49	3387
383.54	2615
383.59	3456
383.65	2160
383.7	3327
383.75	1977
383.8	3387
383.85	2272
383.91	2328
383.96	2475
384.01	2638
384.06	2443
384.11	2830
384.17	3354
384.22	2383
384.27	1975
384.32	1855
384.37	3417
384.42	2847
384.48	2835
384.53	2185
384.58	2323
384.63	2064
384.68	2673
384.73	2685
384.79	2352
384.84	2571
384.89	2282
384.94	2736
384.99	2292
385.04	2034
385.1	2679
385.15	2517
385.2	2700
385.25	2190
385.3	1783
385.35	2583
385.41	2202
385.46	2466
385.51	1801
385.56	3147
385.61	1779
385.66	2383
385.72	2287
385.77	2196
385.82	2023
385.87	2285
385.92	2783
385.97	2093
386.02	2068
386.08	3179
386.13	2620
386.18	2583
386.23	2508
386.28	2590
386.33	2465
386.38	2386
386.44	2277
386.49	2204
386.54	2303
386.59	2530
386.64	1989
386.69	2890
386.74	2526
386.79	2157
386.85	3351
386.9	2612
386.95	2351
387	2661
387.05	1868
387.1	2145
387.15	3330
387.2	2643
387.26	2702
387.31	1988
387.36	2744
387.41	2885
387.46	2085
387.51	2349
387.56	1996
387.61	1986
387.66	2982
387.72	2628
387.77	2950
387.82	1906
387.87	1919
387.92	2371
387.97	2906
388.02	2981
388.07	1877
388.12	2073
388.18	2859
388.23	1793
388.28	2308
388.33	2108
388.38	2512
388.43	2153
388.48	1980
388.53	2016
388.58	2782
388.63	2914
388.68	2890
388.74	2624
388.79	2168
388.84	1835
388.89	2355
388.94	2035
388.99	2280
389.04	2682
389.09	2935
389.14	2241
389.19	1941
389.24	3360
389.29	2393
389.35	2527
389.4	2406
389.45	2944
389.5	2734
389.55	2554
389.6	2387
389.65	2595
389.7	1832
389.75	2073
389.8	1937
389.85	3009
389.9	1985
389.95	2298
390	2356
390.06	2412
390.11	2308
390.16	2558
390.21	2347
390.26	2502
390.31	2872
390.36	2172
390.41	2295
390.46	2461
390.51	2105
390.56	2186
390.61	2350
390.66	2459
390.71	1600
390.76	2550
390.81	1713
390.86	2317
390.91	2301
390.96	2778
391.01	2363
391.07	2420
391.12	1802
391.17	2642
391.22	2161
391.27	2337
391.32	2764
391.37	2549
391.42	2437
391.47	2924
391.52	2466
391.57	3338
391.62	2546
391.67	2846
391.72	2312
391.77	2169
391.82	2337
391.87	2651
391.92	2197
391.97	3242
392.02	3212
392.07	2256
392.12	3261
392.17	3614
392.22	1775
392.27	2650
392.32	3562
392.37	2404
392.42	2545
392.47	2571
392.52	2695
392.57	2279
392.62	2020
392.67	2584
392.72	2485
392.77	3687
392.82	1977
392.87	2916
392.92	2100
392.97	2536
393.02	1711
393.07	2272
393.12	2684
393.17	2250
393.22	2132
393.27	2385
393.32	3516
393.37	2208
393.42	1803
393.47	2508
393.52	2464
393.57	2786
393.62	2412
393.67	2989
393.72	2236
393.77	2296
393.82	2905
393.87	2536
393.92	2098
393.97	2870
394.02	2704
394.07	2546
394.12	2660
394.17	2487
394.22	3063
394.27	2546
394.32	1867
394.37	2078
394.42	3253
394.47	3071
394.52	2689
394.57	3035
394.62	2347
394.67	2098
394.71	2299
394.76	2114
394.81	3273
394.86	2911
394.91	2443
394.96	3095
395.01	2497
395.06	2528
395.11	1955
395.16	2331
395.21	3321
395.26	2248
395.31	2906
395.36	2285
395.41	2311
395.46	2834
395.51	3552
395.56	2107
395.61	2268
395.66	2669
395.7	3843
395.75	2008
395.8	2343
395.85	2410
